sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
1077.55;1077.55;1078.2;-6.59338e-16;-1.95014e-15;-3.61569e-16;3.44;3.44;-0.721324;-8.22387e-17;-6.6819e-17;3.28955e-17;0;0;0;0;0;0;3.54902;
1063.93;1063.93;1064.58;2.86015e-15;1.75249e-16;-1.26082e-15;3.4;3.4;-0.719153;1.2747e-16;-4.21474e-17;-5.55112e-17;0;0;0;0;0;0;3.57713;
1050.32;1050.32;1050.96;-9.55216e-16;4.58543e-16;2.34703e-16;3.36;3.36;-0.716946;4.11194e-17;-1.02798e-17;-3.08395e-17;0;0;0;0;0;0;3.60526;
1036.71;1036.71;1037.36;-1.39887e-15;8.24467e-17;1.35109e-15;3.32;3.32;-0.714701;-5.34552e-17;-7.19589e-18;6.4763e-17;0;0;0;0;0;0;3.63342;
1023.11;1023.11;1023.76;3.94769e-16;-1.66782e-15;-1.8734e-15;3.28;3.28;-0.712417;-1.64477e-17;-1.2747e-16;-7.81268e-17;0;0;0;0;0;0;3.66161;
1009.52;1009.52;1010.16;-6.5334e-16;1.38846e-15;1.24853e-16;3.24;3.24;-0.710094;-6.5791e-17;-1.74757e-17;-5.75671e-17;0;0;0;0;0;0;3.68982;
995.932;995.932;996.578;1.37613e-15;9.11248e-17;-3.33028e-16;3.2;3.2;-0.707729;3.70074e-17;-1.95317e-17;-8.22387e-17;0;0;0;0;0;0;3.71806;
982.353;982.353;983;6.14284e-17;-4.79321e-16;-7.17232e-17;3.16;3.16;-0.705321;3.28955e-17;-5.44832e-17;-8.53227e-17;0;0;0;0;0;0;3.74633;
968.782;968.782;969.429;-1.19863e-15;1.26289e-15;1.81404e-15;3.12;3.12;-0.702871;-5.34552e-17;3.90634e-17;4.52313e-17;0;0;0;0;0;0;3.77463;
955.218;955.218;955.867;1.44477e-15;-1.06011e-16;7.15692e-16;3.08;3.08;-0.700376;5.75671e-17;2.36436e-17;8.53227e-17;0;0;0;0;0;0;3.80295;
